
name,price,pulish,commit
正版 ,39.20,弗洛拉图书专营店,0
数字信号处理应用,35.10,博库网旗舰店,0
 3学习笔记（上卷）基于,66.80,旷氏文豪图书专营店,10+
核心编程 第3版 9787115414779,67.30,中颐图书专营店,0
程序设计 畅销书籍 计算机 正版 [美]戴维I.施耐德,63.60,智胜图书专营店,0
包邮,96.60,蓝墨水图书专营店,0
 Web开发学习实录(配光盘)(Web程序员成功之路) 97873022663,44.90,中颐图书专营店,0
高性能编程 Micha Gorelick 戈雷利克,61.62,友杰图书专营店,0
数据科学入门 (俄)德米特里·齐诺维耶夫(Dmitry Zino,29.50,友杰图书专营店,0
数据分析,37.17,友杰图书专营店,0
编程基础/互联网+职业技能系列,36.90,土星图书专营店,0
程序设计案例教程    全国高等职业教育“十三五”规划教材   机械工业出版社,44.10,广通建筑科技图书专营店,0
 3学习笔记 上卷 ,66.50,华心图书专营店,0
青少年学,43.50,华心图书专营店,0
零压力学,56.40,华心图书专营店,0
Effective ,44.10,华心图书专营店,1
高性能 第2版  ,42.10,华心图书专营店,0
正版 人工智能入门与实战 使用Raspberry Pi和,59.80,恒久图书专营店,0
正版 ,59.00,恒久图书专营店,0
正版 ,59.00,恒久图书专营店,1
正版 ,69.00,恒久图书专营店,0
全新正版书籍 ,69.00,恒久图书专营店,0
正版 ,79.00,恒久图书专营店,0
物理学高效计算,77.22,淘乐思图书专营店,0
正版L ,79.00,恒久图书专营店,2
正版 ,40.10,世纪书缘专营店,0
小学生C++趣味编程上+下册+青少年学,103.90,旷氏文豪图书专营店,0
自学,60.80,旷氏文豪图书专营店,20+
包邮 ,96.60,旷氏文豪图书专营店,0
机器学习实例+机器学习算法 2本  机器学习入门教程书籍,90.80,旷氏文豪图书专营店,0
零起点,89.60,旷氏文豪图书专营店,0
包邮 ,48.80,旷氏文豪图书专营店,1
数据科学实践指南  数据挖掘技术教程书籍,43.00,旷氏文豪图书专营店,0
Keras快速上手：基于,53.70,中颐图书专营店,0
程序设计 9787111526278,52.90,中颐图书专营店,0
Raspberry Pi：,25.10,中颐图书专营店,0
基础教程第3版+,132.72,北方文艺出版社图书旗舰店,0
Head First ,80.60,友建盛达图书专营店,0
程序设计案例课堂,55.89,涟水新华图书专营店,0
"学习手册 鲁特兹,李军,刘红伟",95.30,典则俊雅图书专营店,0
核心编程 第3版 英文版 [美] 卫斯理 春(Wesley Chun),77.70,典则俊雅图书专营店,0
数据科学实战手册(R+,47.30,典则俊雅图书专营店,0
密码学编程 畅销书籍 计算机 正版,54.40,智胜图书专营店,0
即学即用 畅销书籍 计算机 正版,41.00,智胜图书专营店,0
树莓派编程 畅销书籍 计算机 正版 沃尔弗拉姆 多纳特(Wolfram Don,40.20,智胜图书专营店,0
项目开发实战 日 BePROUD股份有限公司,64.00,智胜图书专营店,0
爬虫开发与项目实战 范传辉 编著 编程语言 机械工业出版社 978711156,63.60,智胜图书专营店,0
开发向导 畅销书籍 计算机 正版,38.00,智胜图书专营店,0
"网络爬虫从入门到实践 唐松,陈智铨 编著 编程语言 机械工业出版社 97871",40.20,智胜图书专营店,0
带我起飞——入门、进阶、商业实战 计算机与互联网 书籍,55.30,墨砚聚客图书专营店,0
数字信号处理应用,35.10,土星图书专营店,0
包邮,94.80,蓝墨水图书专营店,0
程序设计第一课 赵军+中学生可以这样学,62.80,蓝墨水图书专营店,0
包邮 ,59.20,蓝墨水图书专营店,0
正版 零起点,43.00,蓝墨水图书专营店,1
预测分析：,42.00,蓝墨水图书专营店,0
正版 ,89.10,弗洛拉图书专营店,0
包邮 ,53.00,弗洛拉图书专营店,0
包邮 ,45.50,弗洛拉图书专营店,0
正版  ,41.40,博古通今图书专营店,0
正版现货 ,88.35,北京京广博图书图书专营店,0
利用,75.00,友建盛达图书专营店,0
基础教程.第2版·修订版,60.80,北京京广博图书图书专营店,0
官方正版 ,58.50,电子工业出版社官方旗舰店,0
网络数据采集,47.20,涟水新华图书专营店,0
Selenium 2自动化测试实战-基于,47.20,涟水新华图书专营店,0
数据分析,47.20,涟水新华图书专营店,0
语言程序设计,33.15,泗阳新华书店图书专营店,0
趣学,26.20,智胜图书专营店,0
数据结构与算法：,36.10,华心图书专营店,0
云原生：构建应对海量用户数据的高可扩展Web应用,65.00,人天图书专营店,0
零起点,51.80,人天图书专营店,0
数据抓取技术与实战,37.70,人天图书专营店,0
【,74.40,世纪书缘专营店,0
玩转,53.00,书虫图书专营店,2
我的,51.00,书虫图书专营店,0
数据科学：技术详解与商业实践  计算机 网络 程序设计 ,77.60,书虫图书专营店,0
软件架构：,77.42,书虫图书专营店,0
包邮 从芯片到云端 ,88.80,蓝墨水图书专营店,7
正版 ,43.20,世纪书缘专营店,0
机器人,46.02,淘乐思图书专营店,0
深度实践OpenStack(基于,61.62,博库网旗舰店,0
零压力学,61.62,博库网旗舰店,0
与有限元--基于,43.81,博库网旗舰店,0
数据科学导论(概念技术与应用),46.02,博库网旗舰店,0
正版 ,106.30,布克专营店,0
设计模式 第2版 ,27.30,旷氏文豪图书专营店,0
正版现货  ,51.06,蛋蛋图书专营店,0
正版现货 ,65.90,蛋蛋图书专营店,0
正版现货 ,58.50,蛋蛋图书专营店,0
参考手册 第4版 修订版,75.80,品阅轩图书专营店,0
地理空间分析指南（第2版）,75.00,品阅轩图书专营店,0
数据可视化,59.80,品阅轩图书专营店,0
和Pygame游戏开发指南 (美)斯维加特(Al Sweigart) 著;李强,46.80,智胜图书专营店,0
绝技:运用,62.80,智胜图书专营店,0
Web接口开发与自动化测试 基于,47.90,典则俊雅图书专营店,0
与机器学习实战 何宇健著,55.60,典则俊雅图书专营店,0
高手之路(第3版) 畅销书籍 计算机 正版,43.80,智胜图书专营店,0
机器学习 畅销书籍 计算机 正版,63.60,智胜图书专营店,0
金融实战 畅销书籍 计算机 正版 [美] Yuxing Yan 严玉星,62.00,智胜图书专营店,0
与机器学习实战:决策树、集成学习、支持向量机与神经网络 何宇健著,55.10,智胜图书专营店,0
程序员面试算法宝典,50.70,淘乐思图书专营店,0
数字信号处理应用,35.10,木垛图书旗舰店,0
正版 ,49.80,恒久图书专营店,0
正版 自动化平台测试开发 ,69.00,恒久图书专营店,0
正版 学习编程第*步 零基础上手,79.80,恒久图书专营店,0
正版L Web接口开发与自动化测试——基于,59.00,恒久图书专营店,2
金融实战 (美)严玉星,49.77,友杰图书专营店,0
数据科学-技术详解与商业实践 常国珍 赵仁乾 张秋剑 著/机械工业出版社,87.10,广通建筑科技图书专营店,0
基础教程 第3版,67.20,华心图书专营店,2
Selenium自动化测试 基于 ,38.22,友杰图书专营店,0
科学计算基础教程/图灵程序设计丛书,40.20,土星图书专营店,0
编程超有趣 奇妙,38.00,华心图书专营店,0
面向ArcGIS的,39.20,智胜图书专营店,0
和Pygame游戏开发 [美] Al Sweigart 斯维加特,47.30,典则俊雅图书专营店,0
编程快速上手——让繁琐工作自动化 [美] Al Sweigart  斯维加特,54.90,典则俊雅图书专营店,0
高效开发实战 刘长龙,71.00,典则俊雅图书专营店,0
项目开发实战 日 BePROUD股份有限公司,64.80,典则俊雅图书专营店,0
数据挖掘入门与实践 畅销书籍 计算机 正版 [澳] Robert Layton,46.80,智胜图书专营店,0
数据分析实战 畅销书籍 计算机 正版,46.80,智胜图书专营店,0
虫术 ,76.70,书虫图书专营店,0
黑客攻防入门  ,57.82,书虫图书专营店,0
【包邮】笨办法学,95.80,蓝墨水图书专营店,0
【包邮】笨办法学,80.80,蓝墨水图书专营店,0
包邮,101.60,蓝墨水图书专营店,0
正版 零压力学,60.20,弗洛拉图书专营店,0
零起点,96.00,蓝墨水图书专营店,0
流畅的,136.22,英典图书专营店,0
正版 用,96.40,布克专营店,0
包邮 ,74.70,布克专营店,0
正版 ,60.80,布克专营店,0
正版 达人迷 ,71.90,布克专营店,0
正版 ,61.80,布克专营店,0
包邮 ,60.20,布克专营店,1
包邮 ,47.60,布克专营店,0
游戏编程快速上手 第4版,58.60,品阅轩图书专营店,0
爱上,33.00,品阅轩图书专营店,0
青少年学,59.20,润知天下图书专营店,0
包邮 ,88.00,润知天下图书专营店,0
从入门到项目实践 全彩版 明日科技 自学,54.80,润知天下图书专营店,0
语言及其应用,58.40,润知天下图书专营店,1
达人迷 ,80.10,巧艺图书专营店,0
机器学习经典实例 畅销书籍 计算机 正版 (美)普拉提克·乔西(Prateek,46.80,智胜图书专营店,0
数据分析基础 [美]克林顿布朗利(Clinton W. Brownley) 畅,55.90,智胜图书专营店,0
正版 ,72.20,恒久图书专营店,0
全新正版书籍 趣学,59.00,恒久图书专营店,0
正版 ,58.10,世纪书缘专营店,0
正版 ,58.80,世纪书缘专营店,0
正版 零压力学,79.00,恒久图书专营店,0
正版 中学生可以这样学,36.20,世纪书缘专营店,4
正版 ,81.20,世纪书缘专营店,1
正版 ,58.10,世纪书缘专营店,0
正版 人工智能入门与实战 使用Raspberry Pi和,51.60,世纪书缘专营店,0
正版 ,43.20,世纪书缘专营店,0
正版 ,74.40,世纪书缘专营店,0
正版 学习编程第壹步 零基础上手,59.50,弗洛拉图书专营店,0
数据结构 ,38.00,华心图书专营店,0
21天学通,44.70,华心图书专营店,0
科学计算基础教程  Hemant Kumar Mehta,35.00,华心图书专营店,0
设计模式 第2版,27.90,华心图书专营店,0
包邮 量化交易之路+,258.60,旷氏文豪图书专营店,100+
玩转,58.00,人天图书专营店,0
深度实践OpenStack：基于,77.42,书虫图书专营店,0
应用开发实战  ,77.42,书虫图书专营店,0
数据科学指南 畅销书籍 计算机 正版 印度 Gopi Subramanian,62.00,智胜图书专营店,0
编程(第4版上下涵盖,138.60,火把图书专营店,0
正版 ,99.00,恒久图书专营店,0
正版 ,51.10,世纪书缘专营店,1
正版 ,65.80,世纪书缘专营店,0
正版 Flask Web开发 基于,58.10,世纪书缘专营店,0
正版 ,43.80,世纪书缘专营店,0
正版 ,51.00,世纪书缘专营店,0
父与子的编程之旅 与小卡特一起学,49.00,蓝墨水图书专营店,10+
Selenium 2自动化测试实战 基于,42.50,蓝墨水图书专营店,9
包邮,66.00,蓝墨水图书专营店,10+
包邮,59.00,蓝墨水图书专营店,10+
贝叶斯分析 ,49.50,蓝墨水图书专营店,6
程序设计——从基础到开发 ,35.00,蓝墨水图书专营店,8
预售 ,74.70,弗洛拉图书专营店,0
正版 ,40.00,布克专营店,0
Selenium自动化测试 基于 ,34.30,兰兴达图书专营店,1
21天学通C++ 第8版 Java ,55.30,兰兴达图书专营店,3
物理学高效计算,69.30,兰兴达图书专营店,0
包邮 ,51.80,兰兴达图书专营店,1
机器学习经典实例 人工智能 机器人 无人驾驶,41.30,兰兴达图书专营店,2
机器学习 学习实战 ,62.40,润知天下图书专营店,0
跟老齐学,59.20,润知天下图书专营店,0
高效开发实战 ,69.00,润知天下图书专营店,0
数据结构 ,51.00,润知天下图书专营店,0
深度学习入门 基于,44.20,润知天下图书专营店,0
Keras快速上手：基于,55.30,巧艺图书专营店,0
从零开始学,53.10,巧艺图书专营店,0
正版 零基础学编程 树莓派和,43.20,世纪书缘专营店,0
正版 R语言机器学习 卡西克 拉玛苏布兰马尼安 数据科学数据处理书籍 ,82.20,世纪书缘专营店,0
正版 虫术 ,82.20,世纪书缘专营店,0
3网络爬虫开发实战,73.00,木垛图书旗舰店,0
数据分析与数据化运营/数据分析与决策技术丛书,77.22,博库网旗舰店,0
正版 数据结构与算法 ,87.60,布克专营店,0
Raspberry Pi编程指南(基于,37.20,土星图书专营店,0
从零开始学,61.62,博库网旗舰店,0
学习从入门到实践/中国高校创意创新创业教育系列丛书,32.16,博库网旗舰店,0
包邮  ,63.90,布克专营店,10+
网络爬虫从入门到实践+,97.90,布克专营店,0
正版 从零开始学,49.60,布克专营店,0
 3 面向对象编程 第2版 计算机网络 计算机程序设计 编程语言与程序,74.70,书虫图书专营店,0
参考手册（第4版.修订版）,67.50,书虫图书专营店,0
Flask Web开发 基于,53.00,书虫图书专营店,0
精通,57.82,书虫图书专营店,0
Selenium自动化测试 基于 ,48.02,书虫图书专营店,0
正版 图解算法 使用,40.20,恒久图书专营店,0
 程序设计基础实战教程,36.45,上海书城旗舰店,0
微控制器编程从零开始(使用Micro,32.87,土星图书专营店,0
编程快速上手:让繁琐工作自动化 畅销书籍 计算机 正版,54.40,智胜图书专营店,0
零起点,78.20,智胜图书专营店,0
数据分析(影印版第2版)(英文版),62.42,火把图书专营店,0
网络爬虫从入门到实践+,97.90,弗洛拉图书专营店,0
毫无障碍学,41.40,华心图书专营店,0
包邮 ,77.60,弗洛拉图书专营店,0
正版 ,62.60,弗洛拉图书专营店,0
包邮 ,66.90,弗洛拉图书专营店,2
正版 ,53.00,弗洛拉图书专营店,0
包邮 从零开始学,47.60,弗洛拉图书专营店,0
包邮 ,37.90,弗洛拉图书专营店,0
与有限元,51.20,巧艺图书专营店,0
地理数据处理 ,56.40,华心图书专营店,0
高效开发实战,66.50,华心图书专营店,0
编程快速上手 让繁琐工作自动化 ,38.00,华心图书专营店,0
趣味编程入门 ,27.00,华心图书专营店,0
机器人,44.10,华心图书专营店,0
趣学,24.80,华心图书专营店,0
精通,32.10,华心图书专营店,0
与量化投资：从基础到实战,72.20,人天图书专营店,0
数据科学导论 ,57.82,书虫图书专营店,0
数据分析与挖掘实战 ,55.10,书虫图书专营店,2
机器学习 预测分析核心算法 ,53.00,书虫图书专营店,1
程序设计 第3版 ,53.00,书虫图书专营店,0
设计模式 第2版 计算机网络 程序设计 工厂方法模式 上下文—设计模式,38.22,书虫图书专营店,1
 3数据分析与机器学习实战 计算机网络 程序设计 C C++ C# V,51.30,书虫图书专营店,0
基础教程 2版 计算机与互联网 编程语言与程序设计 编程的入门语言 安,36.70,书虫图书专营店,0
【全2册】,117.90,恒久图书专营店,0
正版 ,40.20,恒久图书专营店,0
零压力学,61.62,木垛图书旗舰店,0
数据分析实战语言编程入门书籍程序设计教材,42.10,华心图书专营店,0
程序设计基础实战教程(清华科技大讲堂),35.55,木垛图书旗舰店,0
“笨办法”学,33.30,中颐图书专营店,0
达人迷 ,75.65,泰州新华书店图书专营店,0
参考手册(第4版.修订版),64.97,泰州新华书店图书专营店,0
基础教程(第2版 修订版) 9787115353528,53.70,中颐图书专营店,0
机器学习实践：测试驱动的开发方法 9787111581666,39.50,中颐图书专营店,0
正版,68.50,一碧万顷图书专营店,0
 Web开发实战,77.70,电子工业出版社官方旗舰店,0
【出版社直供】零基础学编程：树莓派和,41.68,北京京广博图书图书专营店,0
Selenium 2自动化测试实战-基于,44.84,昆山新华书店图书专营店,0
趣学,36.00,涟水新华图书专营店,0
图解算法(使用,35.77,木垛图书旗舰店,0
深入浅出深度学习 原理剖析与,56.80,华文乐章图书专营店,0
【包邮】玩转,95.80,蓝墨水图书专营店,0
包邮 基于Django的电子商务网站设计+,98.90,蓝墨水图书专营店,0
包邮 ,95.80,蓝墨水图书专营店,0
包邮Keras深度学习实战+深度学习:基于Keras的,88.60,蓝墨水图书专营店,0
精通,96.00,蓝墨水图书专营店,10+
包邮从零开始学,93.80,蓝墨水图书专营店,0
数据分析从入门到精通 ,49.50,蓝墨水图书专营店,10+
贝叶斯思维：统计建模的,35.00,华心图书专营店,0
面向ArcGIS的,35.00,华心图书专营店,0
 3网络爬虫开发实战,73.90,人天图书专营店,20+
21天学通,45.40,人天图书专营店,0
机器人,44.80,人天图书专营店,0
零起点,266.00,旷氏文豪图书专营店,8
利用,75.00,书虫图书专营店,0
笨办法 学,70.70,书虫图书专营店,0
零基础学,62.60,书虫图书专营店,0
正版 ,64.20,恒久图书专营店,0
包邮【2018新版】 用,79.80,蓝墨水图书专营店,0
编程基础教程从入门到实践,140.80,友杰图书专营店,0
玩转,35.20,蓝墨水图书专营店,30+
现货包邮 ,78.00,蓝墨水图书专营店,9
面向机器智能的TensorFlow实践+,103.50,蓝墨水图书专营店,0
包邮 ,88.00,蓝墨水图书专营店,0
数据分析实战 ,56.50,蓝墨水图书专营店,0
流利的,108.56,英典图书专营店,3
正版 ,95.60,弗洛拉图书专营店,0
与机器学习实战:决策树、集成学习、支持向量机与神经网络算法详解及编程实现 97,43.50,友建盛达图书专营店,0
编程基础 9787115434142 闫俊伢,28.40,友建盛达图书专营店,0
正版现货 Selenium 2自动化测试实战 基于,48.90,北京京广博图书图书专营店,0
数据分析从入门到精通,51.10,电子工业出版社官方旗舰店,0
量化交易之路-用,66.75,阜宁新华书店图书专营店,0
算法教程,55.20,涟水新华图书专营店,0
 3程序开发指南(第2版)(修订版),55.20,涟水新华图书专营店,0
"计算与编程实践:多媒体方法(原书XX版) (美)古兹迪阿尔,(美)埃里克森",58.00,智胜图书专营店,0
利用,71.90,典则俊雅图书专营店,0
包邮  NLTK基础教程 用NLTK和,39.50,兰兴达图书专营店,3
数据分析(影印版第2版)(英文版),62.42,木垛图书旗舰店,2
自然语言处理 畅销书籍 计算机 正版,69.60,智胜图书专营店,0
零基础学,54.90,典则俊雅图书专营店,0
Effective ,48.00,智胜图书专营店,0
机器人系统设计与制作 ,48.50,典则俊雅图书专营店,0
数据科学实战手册:R+,46.80,智胜图书专营店,0
数据科学导论:,40.20,智胜图书专营店,0
数据科学指南 印度 Gopi Subramanian 萨伯拉曼尼安,62.50,典则俊雅图书专营店,0
数据分析(影印版第2版)(英文版),62.42,博库网旗舰店,0
包邮鸟哥的Linux基础学习实训教程+零基础入门学习,87.80,蓝墨水图书专营店,0
数据分析基础 ,48.90,蓝墨水图书专营店,10+
零基础学编程 树莓派和,29.80,蓝墨水图书专营店,0
机器人系统设计与制作：,42.50,蓝墨水图书专营店,0
机器学习系统设计：,41.90,蓝墨水图书专营店,0
网络爬虫从入门到实践 ,35.00,蓝墨水图书专营店,6
数据科学入门 ,35.00,蓝墨水图书专营店,3
正版 算法图解+数据结构 ,88.40,弗洛拉图书专营店,0
编程从入门到精通 计算机与互联网 编程语言与程序设计 零基础学编程基础,60.30,书虫图书专营店,0
机器学习实践 测试驱动的开发方法 计算机网络 程序设计 计算机与互联网,56.00,书虫图书专营店,0
Raspberry Pi编程指南（*二版） 基于,48.02,书虫图书专营店,0
数据科学导论 概念、技术与应用 ,41.50,书虫图书专营店,0
趣味编程入门 ,40.00,书虫图书专营店,0
程序设计基础与应用  计算机专业本 专科程序设计基础课程教材 以及Py,35.50,书虫图书专营店,0
正版 ,60.30,恒久图书专营店,3
人民邮电 ,34.50,上海书城旗舰店,0
文本分析,63.20,上海书城旗舰店,0
正版 R语言机器学习 卡西克 拉玛苏布兰马尼安 数据科学数据处理书籍 ,74.00,恒久图书专营店,0
全新正版书籍 ,47.20,恒久图书专营店,0
数据分析与数据化运营,79.20,上海书城旗舰店,2
 Cookbook中文版(第3版),81.00,泰州新华书店图书专营店,0
程序员面试算法宝典,55.25,泰州新华书店图书专营店,0
树莓派,58.70,西单图书大厦专营店,0
OpenCV 3计算机视觉：,38.60,蓝墨水图书专营店,8
数据科学导论：,38.60,蓝墨水图书专营店,1
编程入门与案例详解 ,34.60,蓝墨水图书专营店,0
正版 ,125.30,弗洛拉图书专营店,0
正版 用,102.80,弗洛拉图书专营店,0
Raspberry Pi:,31.20,智胜图书专营店,0
 Qt GUI快速编程 新华正版,63.20,典则俊雅图书专营店,0
基于ArcGIS的,54.90,典则俊雅图书专营店,0
性能分析与优化 畅销书籍 计算机 正版 [乌拉圭] 多格里奥(Fernando,36.20,智胜图书专营店,0
 数据可视化 (印)科斯·拉曼(Kirthi Raman),56.30,典则俊雅图书专营店,0
科学计算基础教程 畅销书籍 计算机 正版 印 赫曼塔 库玛 梅赫塔 Heman,39.20,智胜图书专营店,0
包邮  ,27.80,兰兴达图书专营店,2
数据分析基础/图灵程序设计丛书,53.82,木垛图书旗舰店,0
Flask Web开发(基于,53.82,木垛图书旗舰店,0
程序员面试算法宝典,50.70,木垛图书旗舰店,0
爬虫开发与项目实战 ,58.50,华文乐章图书专营店,2
数据挖掘 畅销书籍 正版,49.40,典则俊雅图书专营店,0
 Web开发实战 畅销书籍 计算机 正版 董伟明,82.90,智胜图书专营店,0
跟老齐学,47.40,智胜图书专营店,0
高性能编程 畅销书籍 计算机 正版 [美] Micha Gorelick 戈雷,62.00,智胜图书专营店,0
机器人,42.48,博库网旗舰店,0
数据馆员的,42.34,博库网旗舰店,0
正版 数据结构 ,102.80,布克专营店,0
正版 ,45.80,布克专营店,0
包邮 ,67.90,布克专营店,2
正版 数据结构 ,102.80,弗洛拉图书专营店,0
正版 ,76.70,弗洛拉图书专营店,0
包邮 ,60.20,弗洛拉图书专营店,0
正版 青少年学,60.20,弗洛拉图书专营店,0
正版 玩转,53.00,弗洛拉图书专营店,0
程序员学,64.97,泰州新华书店图书专营店,0
数据处理,72.27,泰州新华书店图书专营店,0
编程之美：最佳实践指南,64.97,泰州新华书店图书专营店,0
编程快速上手 让繁琐工作自动化 9787115422699,46.90,中颐图书专营店,0
程序设计入门到实战 9787302455967,53.80,中颐图书专营店,0
机器学习 预测分析核心算法 9787115433732,46.90,中颐图书专营店,0
面向ArcGIS的,32.80,中颐图书专营店,0
数据可视化之matplotlib实践 9787121348884 刘大成,37.20,友建盛达图书专营店,0
正版现货 机器人,59.00,北京京广博图书图书专营店,0
正版现货 ,63.30,北京京广博图书图书专营店,0
正版 笨办法 学,86.20,弗洛拉图书专营店,0
高效开发实战+,189.00,旷氏文豪图书专营店,10+
正版 ,61.80,弗洛拉图书专营店,0
正版 ,60.20,弗洛拉图书专营店,0
正版 从零开始学,60.20,弗洛拉图书专营店,0
包邮 ,53.30,弗洛拉图书专营店,1
编程(XX版) [波兰]Micha Jaworski 贾沃斯基  [法]Tar,70.10,典则俊雅图书专营店,0
机器人系统设计与制作:,48.00,智胜图书专营店,0
极客项目编程 畅销书籍 计算机 正版,54.40,智胜图书专营店,0
地理数据处理 畅销书籍 计算机 正版 [美]Chris Garrard 加勒德,62.00,智胜图书专营店,0
核心编程(XX版) 畅销书籍 计算机 正版 [美]Wesley J.Chun,69.60,智胜图书专营店,0
编程从零基础到项目实战(微课视频版) ,55.80,蓝墨水图书专营店,0
包邮micro:bit魔法修炼之M,83.80,蓝墨水图书专营店,0
包邮 机器人,87.80,蓝墨水图书专营店,7
包邮,99.80,蓝墨水图书专营店,0
学习从入门到实践+,65.00,蓝墨水图书专营店,10+
正版 深度实践OpenStack：基于,62.60,布克专营店,0
正版 21天学通,47.60,布克专营店,0
包邮 ,58.80,布克专营店,0
正版 趣学,35.70,布克专营店,0
包邮 预测分析：,46.50,布克专营店,0
正版 用,38.60,弗洛拉图书专营店,0
正版 ,52.30,弗洛拉图书专营店,0
流畅的,108.42,友杰图书专营店,0
正版 ,50.90,弗洛拉图书专营店,0
包邮 NLTK基础教程 用NLTK和,36.80,弗洛拉图书专营店,20+
数据科学实战手册 R+,39.50,中颐图书专营店,0
Flask Web开发 基于,39.50,中颐图书专营店,0
机器学习英文版影印版塞巴斯蒂安·拉什卡东南大学出版社9787564170776,67.00,一碧万顷图书专营店,0
跟老齐学,49.80,友建盛达图书专营店,0
零基础入门学习,38.12,昆山新华书店图书专营店,0
正版现货 ,59.00,北京京广博图书图书专营店,0
程序设计(第3版),52.40,昆山新华书店图书专营店,0
自动化运维:技术与*佳实践 畅销书籍 计算机 正版,55.80,智胜图书专营店,0
 算法教程 [挪威]赫特兰(Magnus Lie Hetland),54.90,典则俊雅图书专营店,0
数据挖掘 [美] 梅甘·斯夸尔 畅销书籍 正版,49.00,智胜图书专营店,0
包邮 数据结构 ,53.00,弗洛拉图书专营店,0
包邮 ,53.00,弗洛拉图书专营店,0
包邮 ,51.00,弗洛拉图书专营店,6
正版 编程超有趣 奇妙,50.80,弗洛拉图书专营店,0
正版 ,41.00,弗洛拉图书专营店,0
编程入门 (第3版 ) 畅销书籍 计算机 正版,31.60,智胜图书专营店,0
正版 程序员学,89.00,恒久图书专营店,0
正版现货 青少年学,79.00,恒久图书专营店,4
正版 ,49.80,恒久图书专营店,0
从问题到程序:用,51.00,世纪书缘专营店,0
正版 ,60.80,弗洛拉图书专营店,0
正版 ,57.50,弗洛拉图书专营店,0
正版 11招玩转网络 用,54.40,弗洛拉图书专营店,0
正版 ,38.60,弗洛拉图书专营店,0
包邮 ,52.00,弗洛拉图书专营店,0
包邮 机器人,45.80,布克专营店,0
包邮 ,37.90,布克专营店,1
包邮 ,35.70,布克专营店,0
区域包邮 网站渗透测试实战入门+,70.00,兰兴达图书专营店,8
可以这样学,49.70,兰兴达图书专营店,10+
零基础入门学习,33.70,兰兴达图书专营店,0
包邮 精通,45.00,弗洛拉图书专营店,0
正版 零基础学编程 树莓派和,39.60,弗洛拉图书专营店,0
计算机视觉编程,55.20,涟水新华图书专营店,0
编程(XX版) 畅销书籍 计算机 正版,69.60,智胜图书专营店,0
与有限元--基于,43.81,淘乐思图书专营店,0
正版 ,49.00,恒久图书专营店,0
正版 ,99.00,恒久图书专营店,0
正版 利用,99.00,恒久图书专营店,0
正版 ,39.70,世纪书缘专营店,1
正版 ,51.00,世纪书缘专营店,0
3网络爬虫开发实战,77.22,友杰图书专营店,0
参考手册 第4版 修订版 大卫 M.比兹利(David M.Beazley),44.50,友杰图书专营店,0
程序设计基础实战教程(清华科技大讲堂),35.55,土星图书专营店,0
贝叶斯思维：统计建模的,38.22,友杰图书专营店,0
ys ,58.80,世纪书缘专营店,2
正版 Selenium自动化测试——基于 ,42.70,世纪书缘专营店,0
正版 ,55.70,世纪书缘专营店,0
【正版包邮】自动化平台测试开发 ,93.50,蓝墨水图书专营店,0
包邮 ,45.80,弗洛拉图书专营店,0
包邮 ,44.50,弗洛拉图书专营店,10+
与有限元 计算机 网络 程序设计 其他 数值计算方法 什么是,44.30,弗洛拉图书专营店,0
 3程序开发指南(第2版 修订版),53.82,友杰图书专营店,0
编程之美：最佳实践指南,66.50,华心图书专营店,0
程序设计 计算机科学丛书,59.00,华心图书专营店,0
机器学习经典实例 ,42.10,华心图书专营店,0
包邮  ,60.50,兰兴达图书专营店,1
数据科学入门 快速掌握数据采集与清洗 数据分析 机器学习等任务工具 轻松解决,34.30,兰兴达图书专营店,3
流畅的,100.08,木垛图书旗舰店,7
Head First ,89.69,木垛图书旗舰店,0
数据分析与数据化运营/数据分析与决策技术丛书,77.22,木垛图书旗舰店,0
PySpark实战指南(利用,38.22,木垛图书旗舰店,0
正版 ,58.80,世纪书缘专营店,0
正版 零压力学,65.80,世纪书缘专营店,0
正版 ,51.10,世纪书缘专营店,0
正版 玩转,58.80,世纪书缘专营店,0
正版 自动化平台测试开发 ,58.80,世纪书缘专营店,0
正版 ,58.10,世纪书缘专营店,0
跟老齐学,44.10,华心图书专营店,0
数据分析与应用,38.30,华心图书专营店,0
像计算机科学家一样思考,35.00,华心图书专营店,0
【单品】,64.90,人天图书专营店,0
数据分析基础教程-NumPy学习指南-第2版,37.70,人天图书专营店,0
编程 从入门到实践+编程快速上手让繁琐工作自动化+流畅的,289.00,旷氏文豪图书专营店,0
与有限元 计算机 网络 程序设计 其他 数值计算方法 什么是,55.76,书虫图书专营店,0
Selenium自动化测试--基于,35.28,木垛图书旗舰店,0
开发向导/云计算工程师系列,35.04,木垛图书旗舰店,0
微控制器编程从零开始(使用Micro,32.87,木垛图书旗舰店,0
数据抓取技术与实战  潘庆和赵星驰编 计算机与互联网 书籍,35.00,华文乐章图书专营店,0
机器学习实例 ,41.50,蓝墨水图书专营店,10+
包邮 ,97.50,蓝墨水图书专营店,2
精通Scrapy网络爬虫+,102.80,蓝墨水图书专营店,0
金融实战 [美] Yuxing Yan 严玉星,62.50,典则俊雅图书专营店,0
精通,47.30,典则俊雅图书专营店,0
从,39.70,智胜图书专营店,0
数据科学实践指南 新华正版,48.30,典则俊雅图书专营店,0
预测分析:,48.00,智胜图书专营店,0
